"LD.x","LOC_C.x","MRD.x","NOAIT_C.x","NOAM.x","NOASIT_C.x","NOAU.x","NOBU.x","NOCT.x","NODT_C.x","NODV_C.x","NOECU_C.x","NOEET.x","NOET.x","NOFS_C.x","NOIS_C.x","NOL_C.x","NOM.x","NOMM.x","NOMR_C.x","NONT.x","NOPA.x","NOPT.x","NOPV.x","NORT.x","NPM.x","Nono_C.x","ALU.x","WMC.x","WMCNAMM.x","WOC.x","MAX_CYCLO.x","MIN_CYCLO.x","MEAN_CYCLO.x","LD.y","LOC_C.y","MRD.y","NOAIT_C.y","NOAM.y","NOASIT_C.y","NOAU.y","NOBU.y","NOCT.y","NODT_C.y","NODV_C.y","NOECU_C.y","NOEET.y","NOET.y","NOFS_C.y","NOIS_C.y","NOL_C.y","NOM.y","NOMM.y","NOMR_C.y","NONT.y","NOPA.y","NOPT.y","NOPV.y","NORT.y","NPM.y","Nono_C.y","ALU.y","WMC.y","WMCNAMM.y","WOC.y","MAX_CYCLO.y","MIN_CYCLO.y","MEAN_CYCLO.y","goodTest"
0,60,0,0,2,0,0,0,0,0,10,0,0,0,0,7,0,5,0,0,0,2,0,0,0,4,0,"false",13,11,0.6,7,1,2.6,0,22,0,3,1,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,"false",3,2,0.666666666666667,1,1,1,0
0,96,0,0,2,0,0,0,0,0,12,0,0,0,0,4,0,12,2,0,0,1,0,5,0,7,2,"false",19,15,0.666666666666667,3,1,1.58333333333333,0,68,0,3,1,0,0,0,7,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,7,"false",9,8,0.875,2,1,1.125,0
0,196,0,0,0,0,0,0,0,0,33,0,0,0,0,17,0,18,2,0,0,1,0,2,0,6,0,"false",43,41,0.888888888888889,8,1,2.38888888888889,0,91,0,0,1,0,0,0,10,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,"false",11,10,0.909090909090909,1,1,1,0
0,46,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,7,1,0,0,1,0,2,0,7,0,"false",8,5,0.571428571428571,2,1,1.14285714285714,0,31,0,3,1,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,"false",4,3,0.75,1,1,1,0
0,50,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,7,1,0,0,1,0,2,0,7,0,"false",10,7,0.571428571428571,3,1,1.42857142857143,0,30,0,3,1,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,"false",4,3,0.75,1,1,1,0
0,46,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,7,1,0,0,1,0,2,0,7,0,"false",8,5,0.571428571428571,2,1,1.14285714285714,0,30,0,3,1,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,"false",4,3,0.75,1,1,1,0
0,51,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,4,0,0,0,2,0,1,0,1,3,"false",9,9,1,3,2,2.25,0,122,0,6,1,0,0,0,11,0,28,0,0,0,0,1,0,12,0,0,0,0,0,0,0,11,6,"false",15,14,0.916666666666667,3,1,1.25,0
0,33,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0,4,0,0,0,1,0,0,0,4,0,"false",6,4,0.5,3,1,1.5,0,22,0,3,1,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,"false",3,2,0.666666666666667,1,1,1,0
0,33,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0,4,0,0,0,1,0,0,0,4,0,"false",6,4,0.5,3,1,1.5,0,28,0,1,1,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,"false",4,3,0.75,1,1,1,0
0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,4,0,"false",5,5,1,2,1,1.25,0,29,0,0,1,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,"false",4,3,0.75,1,1,1,0
